,Countries
0,Andorra
1,Antigua and Barbuda
2,Bahamas
3,Belize
4,Bhutan
5,"Bolivia, Plurinational State of"
6,Burkina Faso
7,Burundi
8,Cabo Verde
9,Central African Republic
10,Chad
11,"Congo, Democratic Republic of the"
12,Czechia
13,Dominica
14,Eritrea
15,"Eswatini, Kingdom of"
16,Grenada
17,Guinea
18,Guinea-Bissau
19,Honduras
20,"Hong Kong, China, SAR"
21,Iceland
22,Kiribati
23,Lebanon
24,Liberia
25,Libya
26,Liechtenstein
27,Madagascar
28,Malaysia
29,Maldives
30,Mali
31,Marshall Islands
32,"Micronesia, Federated States of"
33,"Moldova, Republic of"
34,Montenegro
35,Mozambique
36,Namibia
37,Niger
38,Nigeria
39,North Macedonia
40,Oman
41,Palau
42,"Palestine, State of"
43,Russian Federation
44,Saint Kitts and Nevis
45,Saint Vincent and the Grenadines
46,Seychelles
47,Sierra Leone
48,Slovenia
49,Solomon Islands
50,South Sudan
51,Sudan
52,Suriname
53,Turkmenistan
54,United States
55,Vanuatu
56,Yemen
